Cristiano Ronaldo,,,,,
Season,Team,Goals,Assists,Y Cards,R Cards
21/22,Muncheter United,4,1,2,-
21/22,Juventus,0,0,1,-
20/21,Juventus,29,2,3,-
19/20,Juventus,31,5,3,-
18/19,Juventus,21,8,3,-
17/18,Real Madrid,26,5,1,-
16/17,Real Madrid,25,6,4,-
15/16,Real Madrid,35,9,2,-
14/15,Real Madrid,48,15,5,1
13/14,Real Madrid,31,9,4,1
2012/13,Real Madrid,34,-,9,-
2011/12,Real Madrid,46,-,4,-
2010/11,Real Madrid,40,-,3,-
2009/10,Real Madrid,26,-,4,2
2008/09,Muncheter United,18,6,6,1
2007/08,Muncheter United,31,6,5,1
2006/07,Muncheter United,17,8,2,-
2005/06,Muncheter United,9,6,8,1
2004/05,Muncheter United,5,4,3,-
2003/04,Muncheter United,4,4,4,1
